识别领域 语音识别领域
模型 热点网络商业模型
脉冲神经网络 脉冲神经网络硬件
噪声 图像噪声
资源 本地资源
线性合胞体模型 合胞体
证明 可用性证明
委员会 委员会重组
维持网络 维持网络连通
审查 资格审查委员会
领导 行业领导
知识库 服务机器人专用知识库蓬勃发展
表 表达报文
链入链接 链入
工作组 标准化工作组
资源 计算机资源
密码安全定义建模 安全定义
国产数据库 国产数据库历史回顾
封装基板 封装基板嵌入
限制 灵敏度限制
称号 现代科学家
领域 公共政策领域
语义 语义框架
合成战术训练系统 防空合成战术训练系统
分析领域 可视化分析领域
人工智能技术 人工智能技术挖掘
教育 开环大学教育
形式 视频形式
核心技术 核心技术要素
半导体 半导体器件制造技术
信源 信源符号
扩展布尔查询 布尔查询
模型 噪声自适应迭代低秩矩阵近似模型
裸视三维显示技术 裸视三维显示
数据图 数据图预处理
正确性验证 程序正确性验证
可扩展架构 组件化可扩展架构
大规模并行异构计算平台虚拟化 计算平台
带宽 通信带宽资源
场景深度信息采集 场景深度
并发 多并发客户
比较 留守儿童群体比较
海空自然环境仿真 环境
分析和预测 动态分析和预测
量度 构建质量度量
网络安全技术能为云平台 网络安全技术
城市场景三维建模 大规模城市场景三维建模
能量 能量关系
异构多核结构 可重构异构多核结构
高级服务 高级服务模式
领域 领域重点项目立项
应用系统 异构应用系统
算法 LRU算法动态变化
后端 设备后端
迭代框架 迭代
分量 主分量分析子空间
媒体 媒体信息呈现
密码算法标准 后量子密码算法标准
教案 教材教案
移动对象历史轨迹查询处理 历史轨迹查询
现代 现代科研
速度 加速度传感器
学历 学历分布
模型检测 改善模型检测
保证数据不可篡改 数据
非线性变换 学习非线性变换
学科 学学
数据库管理 内存数据库管理
代码 数十行代码
蚁群优化算法 蚁群优化算法时间复杂度
倒排索引 倒排索引框架
输入 隐含输入
经济 数据经济背景
网络结构分析 小规模静态社会网络结构分析
分析处理 自动化分析处理
实名 用户实名认证
三维城市可视化建模 建模
低成本解决方案 低成本
协议 生成树协议
条件 保护条件
教育 教学活动组织
实体 实体抽取
产业 产业生命周期理论
任务执行 任务执行环境动态构建
检测 检测水印
虚拟信息 虚拟信息世界
上下文 上下文信
图像 图像视差
时间 大大缩短取证时间
多查询 多查询效用函数
权威认证标准 标准
财务 社团财务
相关信息 业务术语描述业务活动相关信息
移动 群体移动位置预测
社会资本 社会资本构建
人类生活 改善人类生活
思维 实验思维
编码器 编码器-解码器框架
社会计算模式 计算模式
百度眼镜 百度
透视式头盔显示器 视频透视式头盔显示器
关系 直接信任关系
数据 过度拟合训练数据
安全 安全危机事件
存储位置 配置数据存储位置
选项 实验设计选项
各行各业 各行各业应用
比较 科研实力比较
社交网 社交网络的网络半径
中国 中国计算机历史资料
体系结构 数据集成体系结构
刘慎权 刘慎权研究员
元数据 对象元数据
交互应用 脑机交互应用原型系统
计算模型 分布计算模型
挖掘技术 度量空间挖掘技术
媒体 新媒体
企业信息化 中小企业信息化服务平台
通信带宽资源 带宽
渗透到 渗透到游戏设计
隐私泄露 隐私泄露行为影响
指纹系统 指纹系统平台软件
新公钥 公钥
凸优化算法 非凸优化算法
社群智能 社群智能数据管理
视觉搜索 视觉搜索分布式索引架构
虚拟 大规模动态虚拟
算机 通用电子计算机
软件 软件演变
模型 基于统计模型
清华大学 清华大学自主
大规模知识 大规模知识处理
能力 用户购买能力
学科 学科交叉
比较 比较分层式
方向 异构化方向
服务器 文件服务器
信息技术 信息技术体系
时态 时态逻辑
分布结构 功能模块分布结构
查询 查询复杂度
标注 标注空间
管理系统 云计算管理系统
教育 职业教育服务
记录读取 记录
导致系统 导致系统失效
学科领域 学科领域知识
协同设计 协同设计操作
学科 学机学
系统结构 多机虚拟化系统结构
竞赛 中国青少年机器人竞赛
心理 心理分析与挖掘
物品 物品电子编码
数据体积 数据
单边频谱拍卖 单边频谱
脉冲信息高效实时传输 信息
大数据有界 大数据有界查询处理
透明计算 透明计算系统
信息学流程 数据生命周期信息学流程
社会网络演化 社会网络演化机制
信息技术渗入可编程控制器 可编程控制
回归模型 线性回归模型
神经启发计算 启发
物品 推荐物品
联合 联合识别方法
教育 重视教育
方向 时间连贯性
资源访问控制安全平台 访问控制
维护 硬件维护
人工智能 能够实现人工智能
安全 网格安全
移动 移动硬件
基础 基础技术领域
有限 并行度有限
控制系统领域 集成控制系统领域
计算实验场景 通过设计计算实验场景
教育 教学课程
结构 领域结构
规模 场景规模
自动化领域 工厂自动化领域
算机 异构图计算机
语义 语义集成
推荐会员 会员推荐会员
边缘智能 参数聚合优化边缘智能分布式模型训练
操作 分组操作
质量 质量理解
通信 通信记录文件
院校科研成果 院校
推行 推行软件
编译遍 编译遍均
基础设施 科学与技术基础设施
方向 离散化
形式 形式显示
汽车执行器 执行器
指出 用户指出
手机 手机通讯接口
能源 美国国会能源委员会
广告投放 在线广告投放
性能能耗 性能
服务 个性服务
实时收集 实时收集方法
课程 系统结构课程
拟机管理器 运行虚拟机管理器
密码学 密码学理论与应用
重复数据删除服务器 重复数据删除服务器集群
移植 移植能力
算机 利用计算机重现
摄影者 称号
组件 分组密码组件
专题 计算技术专题
拍卖 搜索用户拍卖
语义 语义整合
宿主机用户空间 宿主机
动作生成 角色动作生成
市场 安防市场
医疗 大规模多模态医疗数据
程控 工业过程控制部件
智慧医疗 卫宁健康智慧医疗大数据平台
系统管理模块负责 系统管理模块
云原生 兼容云原生
保护用户数据 数据
特性 一致性协议特性优化片上网络
元素 放射性元素
预训练模型 知识增强型预训练模型
数据 网络边缘侧数据
网站 学术信息网站
研究现状 拥塞控制研究现状
建模 自动建模算法
心理背景 心理
项目选择城市交通信息服务领域 信息服务
参数固定模型 固定模型
单指令 异构单指令
安全 安全虚拟机监控器架构
方法论 科研方法论
矩阵聚类算法 算法
操作 用户评价操作
公司 公司商务网站
数据传输速度 数据
生物数据标注 数据
方向 单体式
网络数据 网络数据体量
系统设计 持久性内存系统设计
密度 用户关系亲密度
跨模态数据语料库 数据
阅读器 阅读器读取标签
数据 数据依赖关系
学者 中国学者多
挖掘 实时挖掘
组织 软件维护组织
部件 多显示部件
联盟区块链 区块链
称号 发明家
编辑器 情感编辑器
因果连接 因果连接词
数据 疫情数据
表 表示感谢
方向 表示不确定性
检查点 检查点机制
开源数据库 源数据
负责 负责审稿
方向 非盈利性
基因表达 稳态基因表达
场景 感知场景
行为模式 行为模式有望
领域服务聚合工程 领域服务
方向 极端化
会员 会员覆盖面
模律 正交模律
系统性能分析 服务计算系统性能分析
行业对象标准 标准
三维刚体配准 三维
研讨 立项研讨
数据处理架构 数据
嵌入式系统 智能嵌入式系统
建模 掩码视觉特征建模
多视图 视图
算机 计算机程序模拟法律
向量 编译器自动向量化多媒体代码
路由协议 移动自组网路由协议
分布式入侵检测 入侵检测
效果评估建立模型 建立模型
